title,price,rating,reviews,availability,brand,category,off,bought
"boAt Rockerz 450 Pro Bluetooth On Ear Headphones with Mic with 70 Hours Battery, 40Mm Drivers, Bluetooth V5.0 Padded Ear Cushions, Easy Access Controls and Voice Assistant(Luscious Black)","1,529.00",4.0 out of 5 stars,"19,244 ratings",In stock,boAt,HeadPhones,-62%,1K+ bought in past month
"Boult Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, AUX Option, Easy Controls, IPX5 Wireless Headphones (Beige)","1,999.00",4.2 out of 5 stars,"1,939 ratings",In stock,Boult,HeadPhones,-67%,2K+ bought in past month
"Sony WH-CH720N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Up to 35Hrs Battery- Black","8,735.00",4.3 out of 5 stars,"9,730 ratings",In stock,Sony,HeadPhones,-42%,500+ bought in past month
"Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life, IP55 Dust and Water Resistant (Magico Black)","1,299.00",4.1 out of 5 stars,"188,638 ratings",In stock,OnePlus,HeadPhones,-43%,30K+ bought in past month
"boAt Rockerz 425 Bluetooth Wireless On Ear Headphones Signature Sound, Enx Tech, ASAP Charge, 25H Playtime, Bluetooth V5.2, Dual Pairing with Mic (Ash Grey)","1,199.00",3.6 out of 5 stars,"3,528 ratings",In stock,boAt,HeadPhones,-60%,1K+ bought in past month
"Sony WH-CH520 Wireless Bluetooth Headphones with Mic, Up to 50Hrs Battery-Black","4,490.00",4.1 out of 5 stars,"18,329 ratings",In stock,Sony,HeadPhones,-25%,1K+ bought in past month
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)","2,799.00",4.0 out of 5 stars,"19,660 ratings",In stock,JBL,HeadPhones,-37%,1K+ bought in past month
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",749,3.8 out of 5 stars,"76,195 ratings",In stock,ZEBRONICS,HeadPhones,-38%,2K+ bought in past month
"Zebronics Zeb-Storm Wired Headphone with 3.5mm Jack, Built in Microphone for Calling, 1.5 Meter Cable, Soft Ear Cushion, Adjustable Headband, Foldable Ear Cups and Lightweight Design (Black)",399,3.6 out of 5 stars,"3,034 ratings",In stock,ZEBRONICS,HeadPhones,-50%,1K+ bought in past month
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Hazel Beige)","1,599.00",4.0 out of 5 stars,"116,257 ratings",In stock,boAt,HeadPhones,-60%,1K+ bought in past month
"truke Newly Launched BTG 500 Over The Ear Gaming Headphone with 40mm Drivers, 10H of Playtime, Dual Pairing, Gaming Mode (50ms Latency) with RGB LEDs, TF Card with Volume Control, BT 5.4 (Sky Blue)",999,4.4 out of 5 stars,170 ratings,In stock,truke,HeadPhones,-60%,400+ bought in past month
"Srhythm NC25 Hybrid Noise Cancelling Headphones Over Ear, Wireless Bluetooth 5.3, 50H Playtime, Low Latency, Transparency Mode","5,699.00",4.3 out of 5 stars,"14,641 ratings",In stock,Srhythm,HeadPhones,-43%,50+ bought in past month
boAt Bassheads 100 in Ear Wired Earphones with Mic(Black),299,4.1 out of 5 stars,"416,595 ratings",In stock,boAt,HeadPhones,-70%,5K+ bought in past month
"boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Dual Pair, Bluetooth Headphones, Wireless Headphone with Mic (Iris Black)","2,499.00",4.4 out of 5 stars,91 ratings,In stock,boAt,HeadPhones,-72%,Not Available
"Sony WH-CH520 Wireless Bluetooth Headphones with Mic, Up to 50Hrs Battery-Blue","4,400.00",4.1 out of 5 stars,"18,329 ratings",In stock,Sony,HeadPhones,-27%,1K+ bought in past month
"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)",899,4.2 out of 5 stars,"98,369 ratings",In stock,boAt,HeadPhones,-82%,4K+ bought in past month
"boAt Rockerz 110/Rockerz 109 Wireless Neckband with Up to 60 hrs Playtime, Dual Device Pairing, ENx Tech, Beast Mode, ASAP Charging, BTv5.3,IPX5,Type-C Interface & Magnetic Power Buds(Fern Green)",699,3.5 out of 5 stars,109 ratings,In stock,boAt,HeadPhones,-72%,3K+ bought in past month
"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Black)",599,4.1 out of 5 stars,"198,342 ratings",In stock,JBL,HeadPhones,-54%,5K+ bought in past month
"Sennheiser HD 350BT Wireless Bluetooth Over The Ear Headphone with Mic, Desgined in Germany, 30h Battery, 2 Yr Warranty (Black)","5,990.00",4.3 out of 5 stars,"3,457 ratings",In stock,Sennheiser,HeadPhones,-33%,Not Available
