title,price,rating,reviews,availability,brand,category,off,bought
"CMF by Nothing Phone 1 5G (Blue, 6GB RAM, 128GB Storage) | Expandable Upto 2 TB | 50MP+2MP | 16MP Front Camera | Dimensity 7300 5G Processor | 6.67 AMOLED Display | 33W Fast Charging | Designed 2 Last","14,499.00",4.2 out of 5 stars,172 ratings,In stock,CMF BY NOTHING,SmartPhone,-28%,500+ bought in past month
"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone","19,499.00",4.4 out of 5 stars,"15,762 ratings",In stock,iQOO,SmartPhone,-30%,2K+ bought in past month
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box","7,498.00",4.0 out of 5 stars,"2,478 ratings",In stock,realme,SmartPhone,-17%,5K+ bought in past month
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)","17,998.00",4.1 out of 5 stars,"5,419 ratings",In stock,OnePlus,SmartPhone,-14%,2K+ bought in past month
"iQOO Z9 Lite 5G (Mocha Brown, 6GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box","11,498.00",4.1 out of 5 stars,"3,987 ratings",In stock,iQOO,SmartPhone,-26%,5K+ bought in past month
"Xiaomi 15 (Green, 12GB RAM, 512GB Storage)","30,998",Previous page,,Not Available,Xiaomi,SmartPhone,Not Available,Not Available
Apple iPhone 15 Plus (128 GB) - Yellow,"74,900.00",4.6 out of 5 stars,"1,349 ratings",In stock,Apple,SmartPhone,-6%,100+ bought in past month
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)","17,998.00",4.1 out of 5 stars,"5,419 ratings",In stock,OnePlus,SmartPhone,-14%,5K+ bought in past month
"Samsung Galaxy A05 (Black, 6GB, 128GB Storage) | 50 MP Main Camera | Upto 12GB RAM with RAM Plus | MediaTek Helio G85 | 5000 mAh Battery","8,986.00",3.8 out of 5 stars,337 ratings,In stock,Samsung,SmartPhone,-40%,2K+ bought in past month
"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","21,498.00",4.1 out of 5 stars,"8,097 ratings",In stock,Samsung,SmartPhone,-22%,1K+ bought in past month
CMF BY NOTHING Phone 1 5G (128 GB) (8 GB RAM) (Light Green),"15,499.00",3.9 out of 5 stars,129 ratings,In stock,CMF BY NOTHING,SmartPhone,-30%,500+ bought in past month
"Samsung Galaxy M06 5G (Sage Green, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands| 25W Fast Charging | 4 Gen. of OS Upgrades | Without Charger","10,698.00",3.7 out of 5 stars,10 ratings,In stock,Samsung,SmartPhone,-31%,Not Available
"Vivo V50 5G (Rose Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","36,999.00",4.2 out of 5 stars,145 ratings,In stock,VIVO,SmartPhone,-14%,1K+ bought in past month
"OnePlus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)","24,997.00",4.2 out of 5 stars,"7,979 ratings",In stock,OnePlus,SmartPhone,-7%,5K+ bought in past month
"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","8,499.00",4.0 out of 5 stars,"2,220 ratings",In stock,Redmi,SmartPhone,-23%,5K+ bought in past month
Apple iPhone 15 (256 GB) - Pink,"72,400.00",4.5 out of 5 stars,"3,253 ratings",In stock,Apple,SmartPhone,-9%,200+ bought in past month
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","1,12,900.00",4.3 out of 5 stars,185 ratings,In stock,Apple,SmartPhone,-6%,200+ bought in past month
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","83,900.00",4.4 out of 5 stars,449 ratings,In stock,Apple,SmartPhone,-7%,100+ bought in past month
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","83,400.00",4.4 out of 5 stars,215 ratings,In stock,Apple,SmartPhone,-7%,100+ bought in past month
"Vivo V50 5G (Rose Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","36,999.00",4.2 out of 5 stars,145 ratings,In stock,VIVO,SmartPhone,-14%,1K+ bought in past month
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 256GB Storage)","20,998.00",4.1 out of 5 stars,"5,420 ratings",In stock,OnePlus,SmartPhone,-13%,1K+ bought in past month
